year,month,state,coal,petroleum,natural_gas,hydroelectric_conventional,wind,total,other_gases,nuclear,wood_and_wood_derived_fuels,other_biomass,other,solar_thermal_and_photovoltaic,pumped_storage,geothermal
2001,3,WV,6850762,29907,7240,139400,NA,7040685,9679,NA,0,2107,1590,NA,NA,NA
2001,3,WY,3956114,2371,57739,47356,21956,4093370,714,NA,NA,NA,7120,NA,NA,NA
2001,3,US-TOTAL,155269011,11733006,44364414,20477189,532120,300706544,769181,62140712,2852540,1189040,931155,31498,-773345,1190023
2001,4,AK,37590,76372,290050,84615,71,488698,NA,NA,NA,NA,NA,NA,NA,NA
2001,4,AL,4619950,85539,491732,696398,NA,7714348,13806,1459636,345155,1454,678,NA,NA,NA
2001,4,AR,1598448,49101,251131,206341,NA,3349774,NA,1109159,134911,659,24,NA,NA,NA
2001,4,AZ,3558180,14489,1029478,704075,NA,7159997,NA,1837828,NA,518,NA,37,15392,NA
2001,4,CA,205590,252218,9208768,2096459,392673,15841018,92264,2318671,240271,159790,13421,38722,-143867,966038
2001,4,CO,2689543,31213,873971,95425,2550,3692812,NA,NA,NA,5258,0,NA,-5148,NA
2001,4,CT,301700,293881,79549,60494,NA,2280079,104,1368619,NA,92345,83388,NA,0,NA
2001,4,DC,NA,766,NA,NA,NA,766,NA,NA,NA,NA,NA,NA,NA,NA
2001,4,DE,348861,207428,9062,NA,NA,577017,11666,NA,NA,NA,NA,NA,NA,NA
2001,4,FL,5111631,3522650,3239194,15767,NA,14808706,22,2367100,165568,155727,231047,NA,NA,NA
2001,4,GA,6116872,110530,309596,245243,NA,9245326,NA,2244986,255432,2294,669,NA,-40296,NA
2001,4,HI,110750,653380,0,9808,265,835878,3113,NA,NA,25138,15363,NA,NA,18061
2001,4,IA,2609318,7362,40754,56258,53936,2916301,NA,140468,NA,7739,466,NA,NA,NA
2001,4,ID,6013,285,23532,536699,NA,621878,NA,NA,45811,NA,9538,NA,NA,NA
2001,4,IL,5643634,253113,210859,14166,NA,13320173,27605,7117233,NA,50454,3109,NA,NA,NA
2001,4,IN,8130686,33585,160721,42167,NA,8633796,256915,NA,NA,8495,1227,NA,NA,NA
2001,4,KS,2236719,81355,72675,NA,NA,3246097,NA,855348,NA,NA,NA,NA,NA,NA
2001,4,KY,6874749,16197,31247,202527,NA,7125446,NA,NA,726,NA,NA,NA,NA,NA
2001,4,LA,1458538,339045,3445261,87213,NA,6926936,35156,1254261,230667,3609,73186,NA,NA,NA
2001,4,MA,943467,370364,565846,94064,NA,2404166,NA,315658,9025,97456,65056,NA,-56770,NA
2001,4,MD,1934737,271851,103009,290949,NA,3309853,37438,623493,580,28193,19602,NA,NA,NA
2001,4,ME,38993,107004,566073,279947,NA,1297956,0,NA,227707,49783,28449,NA,NA,NA
2001,4,MI,5075934,20416,691832,153609,NA,8255739,683,2199322,150637,45143,10594,NA,-92430,NA
2001,4,MN,2104236,34132,94296,91367,91287,3666583,NA,1138176,43467,44623,24999,NA,NA,NA
2001,4,MO,4631481,6747,271707,91964,NA,5096669,NA,112310,NA,780,281,NA,-18600,NA
2001,4,MS,1667551,478812,954275,NA,NA,3559358,NA,373230,85452,0,38,NA,NA,NA
2001,4,MT,1044417,39085,669,456177,NA,1546183,NA,NA,5835,NA,NA,NA,NA,NA
2001,4,NC,5543477,104754,45969,229253,NA,9075057,63,2964862,154958,6252,25469,NA,0,NA
2001,4,ND,2203076,4180,170,100944,NA,2314330,5379,NA,NA,581,NA,NA,NA,NA
2001,4,NE,1437367,1407,24157,68002,323,2084250,NA,551481,NA,1513,0,NA,NA,NA
2001,4,NH,263612,56317,9316,173034,NA,1420718,NA,832051,64836,16612,4940,NA,NA,NA
2001,4,NJ,556561,70410,1160331,1211,NA,4012599,36356,2094946,NA,66137,36917,NA,-10270,NA
2001,4,NM,1796526,3929,494953,22618,NA,2319587,NA,NA,NA,1561,NA,NA,NA,NA
2001,4,NV,886510,93433,689974,272669,NA,2040506,NA,NA,NA,NA,NA,NA,NA,97920
2001,4,NY,1809388,1602429,2057134,2043385,1722,10733680,9518,3094645,37933,101525,64347,NA,-88346,NA
2001,4,OH,9552980,46618,51558,39981,NA,11177301,16766,1433803,34587,1008,NA,NA,NA,NA
2001,4,OK,2298900,5503,1082480,212924,NA,3611899,5681,NA,15343,NA,NA,NA,-8932,NA
2001,4,OR,402652,496,781745,2521355,6128,3784434,NA,NA,64330,4405,3323,NA,NA,NA
2001,4,PA,8394243,517486,131821,306704,838,14727884,54288,5160566,49461,103351,65015,NA,-55889,NA
2001,4,RI,NA,5459,436575,188,NA,450800,NA,NA,NA,8578,NA,NA,NA,NA
2001,4,SC,2469107,34540,40953,131158,NA,6371638,0,3708637,72853,1428,1238,NA,-88276,NA
2001,4,SD,326399,1990,42981,75491,0,446861,NA,NA,NA,NA,NA,NA,NA,NA
2001,4,TN,5198558,24468,21186,356568,NA,8078386,1537,2483733,62043,2718,537,NA,-72962,NA
2001,4,TX,9767225,133996,14402417,124232,115487,27486315,81259,2668816,71005,5764,116114,0,NA,NA
2001,4,UT,2458937,4594,157099,43078,NA,2677520,NA,NA,NA,479,361,NA,NA,12972
2001,4,VA,2793442,734495,131082,139279,NA,6108458,0,2285984,78342,45015,30340,0,-129521,NA
2001,4,VT,NA,1115,240,110832,903,467178,NA,328187,25901,NA,NA,NA,NA,NA
2001,4,WA,602688,7201,929606,4009043,NA,6416576,NA,751937,93158,16724,6219,NA,NA,NA
2001,4,WI,3296870,29195,84698,251702,5266,4564247,NA,807880,55013,21549,12074,NA,NA,NA
2001,4,WV,6185175,20733,9936,99919,NA,6327911,7619,NA,0,2582,1947,NA,NA,NA
2001,4,WY,3327371,1709,41077,67692,13247,3459181,605,NA,NA,NA,7480,NA,NA,NA
2001,4,US-TOTAL,140670654,10863376,45842746,18012994,684695,278078871,697843,56003026,2821007,1187239,957456,38759,-795915,1094991
2001,5,AK,40986,75034,283468,85130,69,484687,NA,NA,NA,NA,NA,NA,NA,NA
2001,5,AL,5985862,31560,640437,394587,NA,10048668,12118,2677375,305599,858,272,NA,NA,NA
2001,5,AR,1925929,45275,169725,159075,NA,3690531,NA,1321506,68337,661,23,NA,NA,NA
2001,5,AZ,3614318,19675,1355844,671801,NA,7965507,NA,2266571,NA,5344,NA,43,31911,NA
2001,5,CA,200475,271196,9698874,3045222,377618,16874504,108042,1667926,237636,175365,16194,81010,34607,960339
2001,5,CO,3152661,26574,640381,151592,2876,3975396,NA,NA,NA,5502,0,NA,-4190,NA
2001,5,CT,309332,390953,144814,24767,NA,2356271,62,1342326,NA,72298,71719,NA,0,NA
2001,5,DC,NA,5921,NA,NA,NA,5921,NA,NA,NA,NA,NA,NA,NA,NA
2001,5,DE,278334,169791,115204,NA,NA,574414,11085,NA,NA,NA,NA,NA,NA,NA
2001,5,FL,5829141,3725702,3179750,14158,NA,15817681,116,2507996,161604,162691,236523,NA,NA,NA
2001,5,GA,6296453,97567,302002,178565,NA,9949454,NA,2882791,246238,2239,668,NA,-57069,NA
2001,5,HI,140633,668662,0,8926,142,885862,2754,NA,NA,28093,17114,NA,NA,19538
2001,5,IA,2690607,11871,53396,36523,48081,2875510,NA,25150,NA,8889,993,NA,NA,NA
2001,5,ID,8842,444,27751,881697,NA,970543,NA,NA,42542,NA,9267,NA,NA,NA
2001,5,IL,6188853,26704,363131,11625,NA,14604710,29336,7924871,NA,56163,4027,NA,NA,NA
2001,5,IN,9043013,26816,112905,45822,NA,9487708,250716,NA,NA,7372,1065,NA,NA,NA
2001,5,KS,2721356,59808,98570,NA,NA,3757797,NA,878063,NA,NA,NA,NA,NA,NA
2001,5,KY,7290853,9572,38737,142603,NA,7482535,NA,NA,770,NA,NA,NA,NA,NA
2001,5,LA,1905980,185427,3582462,83754,NA,7624188,36787,1553466,196134,4229,75949,NA,NA,NA
2001,5,MA,639261,649539,823628,50364,NA,2426249,NA,149753,11144,98035,65842,NA,-61317,NA
2001,5,MD,2179105,229784,114637,77272,NA,3631295,40209,938578,1075,29904,20732,NA,NA,NA
2001,5,ME,48867,134073,795992,288948,NA,1632885,0,NA,317307,18931,28767,NA,NA,NA
2001,5,MI,5475041,48518,825913,158814,NA,9301148,585,2679987,147589,49079,11172,NA,-95551,NA
2001,5,MN,2042206,31437,102445,107214,73454,3413870,NA,933368,47390,48364,27992,NA,NA,NA
2001,5,MO,4959117,55092,247990,52305,NA,5471746,NA,170080,NA,790,5693,NA,-19321,NA
2001,5,MS,1207832,754749,1150484,NA,NA,3970700,NA,769005,88594,0,36,NA,NA,NA
2001,5,MT,1153657,36079,1104,689959,NA,1886942,NA,NA,6143,NA,NA,NA,NA,NA
2001,5,NC,5540258,52214,52010,167510,NA,9535155,113,3567992,124674,6412,23972,NA,0,NA
2001,5,ND,2213382,3879,246,104368,NA,2328039,5501,NA,NA,663,NA,NA,NA,NA
2001,5,NE,1468257,4366,25334,90574,294,2496560,NA,905925,NA,1810,0,NA,NA,NA
2001,5,NH,126709,64366,8080,133160,NA,1263395,NA,839779,70561,15695,5045,NA,NA,NA
2001,5,NJ,820127,85496,1217469,1259,NA,4159906,33262,1900361,NA,72940,41209,NA,-12217,NA
2001,5,NM,2601279,9922,489809,26614,NA,3129075,NA,NA,NA,1451,NA,NA,NA,NA
2001,5,NV,1496121,93569,865921,258328,NA,2805571,NA,NA,NA,NA,NA,NA,NA,91632
2001,5,NY,1689967,1486894,3070837,2052920,1641,11131989,9733,2676392,49601,107442,68799,NA,-82237,NA
2001,5,OH,9658378,51806,78420,45003,NA,10691804,24056,800749,31274,2118,NA,NA,NA,NA
2001,5,OK,2963820,4691,1224905,140015,NA,4345641,5680,NA,19779,NA,NA,NA,-13249,NA
2001,5,OR,233404,170,763549,2865149,5782,3927825,NA,NA,51880,4498,3393,NA,NA,NA
2001,5,PA,8431978,263069,164916,119335,891,15648293,57661,6426569,51470,108419,67156,NA,-43171,NA
2001,5,RI,NA,4650,644422,275,NA,658275,NA,NA,NA,8928,NA,NA,NA,NA
2001,5,SC,3079565,19836,40567,87304,NA,7188933,0,3976320,78277,2088,1575,NA,-96599,NA
2001,5,SD,249626,3842,45145,103366,0,401979,NA,NA,NA,NA,NA,NA,NA,NA
2001,5,TN,5148028,49475,31719,278539,NA,8066658,1572,2546530,68550,3473,786,NA,-62014,NA
2001,5,TX,11449397,117381,16025878,115102,103312,31583459,148259,3419870,79189,7508,117563,0,NA,NA
2001,5,UT,2810777,4930,153429,80173,NA,3050121,NA,NA,NA,536,405,NA,NA,-129
2001,5,VA,2805149,221921,115207,99059,NA,5592002,0,2314958,90045,51862,35910,0,-142109,NA
2001,5,VT,NA,1523,5210,91361,976,254425,NA,129478,25877,NA,NA,NA,NA,NA
2001,5,WA,403188,2787,888715,4509647,NA,6287775,NA,389614,74186,14126,5512,NA,NA,NA
2001,5,WI,3213250,33265,103084,247456,3880,4611303,NA,929096,46468,23467,11337,NA,NA,NA
2001,5,WV,6591531,17978,14440,95635,NA,6730022,6055,NA,0,2498,1885,NA,NA,NA
2001,5,WY,3270010,4138,35249,102760,16013,3436696,853,NA,NA,NA,7673,NA,NA,NA
2001,5,US-TOTAL,151592914,10389988,50934205,19175635,635029,300491621,784555,61512445,2739933,1210741,986268,81053,-622526,1071380
2001,6,AK,39411,58095,272074,118354,70,488004,NA,NA,NA,NA,NA,NA,NA,NA
2001,6,AL,6437715,18973,921835,696015,NA,11170299,17348,2725271,350759,1609,774,NA,NA,NA
2001,6,AR,2330786,29903,142681,256366,NA,4132866,NA,1285171,87269,690,NA,NA,NA,NA
2001,6,AZ,3443204,7477,1270426,690906,NA,8174259,NA,2723830,NA,4264,NA,57,34095,NA
