geography,gender,total,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,hispanic_or_latino,white_alone__not_hispanic_or_latino,incarceration_rate,incarceration_rate__white_alone,incarceration_rate__black_or_african_american_alone,incarceration_rate__american_indian_and_alaska_native_alone,incarceration_rate__asian_alone,incarceration_rate__native_hawaiian_and_other_pacific_islander_alone,incarceration_rate__some_other_race_alone,incarceration_rate__two_or_more_races,incarceration_rate__hispanic_or_latino,incarceration_rate__white_alone__not_hispanic_or_latino
Oregon,M,20011,15572,2058,610,307,57,1080,327,3461,13497,1055.4313761272404,986.28249025561502,5490.0496185242491,2269.091991221218,475.05570685813325,830.66161468959501,986.16627859197376,455.59673419344057,1466.7118701529855,914.08284921323991
Pennsylvania,M,90313,36962,42384,258,505,21,9320,863,13860,33569,1458.9289836476471,728.25471458333914,6441.9443777377201,1910.6865141079759,300.62923783046892,1140.684410646388,5906.8467452133627,744.63954441520343,3768.1679526287462,682.52925183456807
Rhode Island,M,3565,1842,1086,23,44,0,543,27,883,1548,701.21951219512198,446.77723716061183,3600.556992241894,771.5531700771553,307.99384012319757,0,1726.1110051497233,159.36725298075788,1368.6103103010014,400.79330147009324
South Carolina,M,38306,12551,24156,193,83,17,1047,259,2770,11178,1702.4124694847033,836.09455709171516,3990.4121740940377,1940.8688656476265,301.77428737638161,1162.7906976744187,1595.6960404791662,662.74309109518936,2109.3512031678342,771.65703303462521
South Dakota,M,5569,3340,454,1501,32,7,122,113,364,3141,1367.0249717095298,956.61986676061019,7353.4175574991896,4244.5493877781864,888.39533592448652,3535.3535353535353,2814.9515459160129,1319.4768799626343,3041.1897401620854,913.22475039686458
Tennessee,M,41378,21097,19200,113,92,4,605,267,1647,20210,1337.577064713671,876.76682208287093,3856.5368299267261,1097.4070117509955,214.5022149685241,210.97046413502107,752.97456066112409,494.53602518984997,1040.4492820457747,862.84629125523861
Texas,M,240227,131990,77251,815,1507,63,26931,1670,84821,75751,1926.0872911769138,1506.243911089728,5371.4454181294541,939.65457606013797,321.47961686968023,580.37770612620909,1971.2629375338538,493.0544278944804,1780.5499151614283,1344.8563960880908
Utah,M,10942,8515,737,425,75,110,855,225,2640,6938,788.14852803790484,715.0372801879671,4368.4428901665578,2603.847567700037,292.15846675236651,859.03943771964077,976.3840672391741,588.49684827243482,1426.7262577078345,624.58420318701792
Vermont,M,1430,1212,124,27,2,0,13,52,73,1170,463.97539308125084,412.73765618135934,3525.7321580892808,2387.2679045092837,57.454754380925024,0,1178.6038077969174,991.60945842868034,1578.0371811500215,402.54047768136689
Virginia,M,59242,22883,34945,182,262,45,629,296,2913,20902,1508.9724025804492,844.84380561097691,4721.3402688644192,1223.4471632159182,126.15562403697996,1516.6835187057634,458.76243545234411,258.16805344776458,885.5610681453378,817.88308286593247
Washington,M,28633,20276,5276,1261,444,238,608,530,4139,16963,854.79118024352567,784.16903646138496,4073.2505713050459,2420.4848647714839,200.49310466281938,1170.1081612586038,326.50781631787254,343.24646391378684,1049.8574486866003,700.67795952069878
West Virginia,M,14014,9323,4061,85,36,12,356,141,897,8902,1533.9552050928978,1091.0793177097048,11957.129817742838,4195.4590325765057,619.72800826304012,5381.1659192825118,9963.6160089560599,1043.1308722349634,7462.5623960066559,1050.6152980067579
Wisconsin,M,34667,18959,13604,1232,175,81,395,221,1978,17551,1228.2808956916099,780.09917986513778,7707.605056062006,4527.4143760105835,278.35658273552946,8299.1803278688512,540.48137049655872,429.73535302467576,1123.0277463933096,748.22429420464027
